성별,특성구분,특성별,2010응답자수 (명),2010분율 (%),2010표준오차,2011응답자수 (명),2011분율 (%),2011표준오차,2012응답자수 (명),2012분율 (%),2012표준오차,2013응답자수 (명),2013분율 (%),2013표준오차,2014응답자수 (명),2014분율 (%),2014표준오차,2015응답자수 (명),2015분율 (%),2015표준오차,2016응답자수 (명),2016분율 (%),2016표준오차,2017응답자수 (명),2017분율 (%),2017표준오차,2018응답자수 (명),2018분율 (%),2018표준오차,2019응답자수 (명),2019분율 (%),2019표준오차,2020응답자수 (명),2020분율 (%),2020표준오차,2021응답자수 (명),2021분율 (%),2021표준오차
전체,전체,19세이상,6257,17.2,0.8,6027,17.4,0.8,5591,15.2,0.8,5342,14.2,0.6,5193,13.1,0.7,5411,13.9,0.6,6016,10.4,0.5,6114,9.2,0.5,6186,8.9,0.5,6190,5.9,0.4,5858,4.6,0.3,5635,3.8,0.3
전체,전체,19세이상(표준화),6257,17.5,0.8,6027,18,0.8,5591,15.6,0.8,5342,14.9,0.6,5193,13.7,0.7,5411,14.5,0.7,6016,10.9,0.5,6114,9.4,0.5,6186,9,0.5,6190,5.9,0.4,5858,4.6,0.3,5635,3.7,0.3
전체,연령별1,19-29세,771,21.8,2.3,678,20.5,1.9,637,18.9,1.8,701,17.6,1.6,594,15.9,1.7,682,17.9,1.8,695,14.6,1.4,724,12.7,1.4,762,10,1.1,749,7.4,1,798,3.7,0.7,673,3.2,0.8
전체,연령별1,30-39세,1254,19.8,1.4,1098,21.5,1.5,960,17.9,1.5,938,18.9,1.5,904,16.4,1.5,745,16.7,1.6,1078,11.1,0.9,904,7.7,1,909,7.6,0.9,916,4.2,0.7,766,3.7,0.7,646,3.7,0.9
전체,연령별1,40-49세,1162,17.3,1.3,1056,18.8,1.5,958,14.2,1.5,1040,16,1.3,901,15.1,1.5,951,13.8,1.4,1124,10.9,1.1,1122,9.7,1.1,1129,10.4,1,1107,6,0.9,965,6.5,0.8,955,3.8,0.7
전체,연령별1,50-59세,1174,19.5,1.7,1184,17.1,1.3,1067,17.1,1.7,1014,12.8,1.3,995,12.2,1.3,1131,14.8,1.2,1092,10.7,1.1,1204,10,1,1186,10.4,1.2,1167,6.3,0.9,1060,5.7,0.8,1027,4.3,0.8
전체,연령별1,60-69세,1027,10.1,1.1,1024,12.1,1.4,1004,11.5,1.5,850,8.2,0.9,919,8.4,1.1,992,8.6,1,1000,7.8,0.9,1089,7.7,1,1101,8.3,1.1,1111,6.9,0.9,1113,3.6,0.6,1109,4.7,0.9
전체,연령별1,70세이상,869,3.8,0.9,987,5.6,1,965,4.4,0.8,799,3.9,0.8,880,4.1,0.6,910,6.1,1,1027,4.2,0.8,1071,5.2,0.9,1099,4.6,0.8,1140,4.3,0.6,1156,3.3,0.6,1225,3,0.6
전체,연령별2,19-64세,4883,18.9,0.9,4562,19,0.9,4161,16.7,0.9,4138,15.7,0.7,3851,14.4,0.8,4023,15.3,0.7,4490,11.4,0.6,4528,9.8,0.6,4597,9.6,0.5,4538,6.1,0.4,4217,4.9,0.4,3875,4,0.4
전체,연령별2,65세이상,1374,6.1,0.9,1465,7.8,1.1,1430,5.8,0.8,1204,5.3,0.8,1342,5.4,0.7,1388,6.4,0.8,1526,5.3,0.7,1586,5.8,0.8,1589,5.5,0.7,1652,5,0.6,1641,3,0.5,1760,3.2,0.6
